EventRecordID,TimeCreated.SystemTime,UtcTime,EventID,Computer,Image,CommandLine,ProcessGuid,ProcessId,User,ParentImage,ParentCommandLine,ParentProcessGuid,TargetFilename,QueryName,QueryResults,DestinationIp,DestinationHostname,DestinationPort,SourceIp,SourcePort,Protocol,Initiated,Hashes,CurrentDirectory,Description,Company,Product,Channel,Configuration,ConfigurationFileHash,Contents,Correlation,CreationUtcTime,DestinationIsIpv6,DestinationPortName,Execution.ProcessID,Execution.ThreadID,FileVersion,Hash,IntegrityLevel,Keywords,Level,LogonGuid,LogonId,Opcode,OriginalFileName,ParentProcessId,Provider.Guid,Provider.Name,QueryStatus,RuleName,SchemaVersion,Security.UserID,SourceHostname,SourceIsIpv6,SourcePortName,State,Task,TerminalSessionId,Version,xmlns
1806,2021-05-07T12:22:57.169573Z,2021-05-07 12:22:57.160,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2805-000000001D00,4372,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI43722\msvcp90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.160,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1807,2021-05-07T12:22:57.171414Z,2021-05-07 12:22:57.160,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2805-000000001D00,4372,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI43722\msvcr90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.160,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1808,2021-05-07T12:22:57.188880Z,2021-05-07 12:22:57.176,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2805-000000001D00,4372,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI43722\python27.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.176,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1809,2021-05-07T12:22:57.374824Z,2021-05-07 12:22:57.369,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2905-000000001D00,724,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2805-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,4372,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1810,2021-05-07T12:22:57.506509Z,2021-05-07 12:22:56.486,3,MSEDGEWIN10,C:\Windows\Temp\supply.exe,,747F3D96-311F-6095-2505-000000001D00,6972,MSEDGEWIN10\IEUser,,,,,,,192.168.1.11,-,8080,192.168.1.8,50670,tcp,True,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,False,-,4224,4216,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,MSEDGEWIN10.domain.name,False,-,,3,,5,http://schemas.microsoft.com/win/2004/08/events/event
1811,2021-05-07T12:22:57.822396Z,2021-05-07 12:22:57.819,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2A05-000000001D00,3692,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2905-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,724,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1812,2021-05-07T12:22:57.862228Z,2021-05-07 12:22:57.848,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2A05-000000001D00,3692,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI36922\msvcm90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.848,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1813,2021-05-07T12:22:57.862256Z,2021-05-07 12:22:57.848,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2A05-000000001D00,3692,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI36922\msvcp90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.848,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1814,2021-05-07T12:22:57.862281Z,2021-05-07 12:22:57.848,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2A05-000000001D00,3692,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI36922\msvcr90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.848,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1815,2021-05-07T12:22:57.885410Z,2021-05-07 12:22:57.864,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3121-6095-2A05-000000001D00,3692,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI36922\python27.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:57.864,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1816,2021-05-07T12:22:57.892463Z,2021-05-07 12:22:57.889,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2B05-000000001D00,5576,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2A05-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,3692,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1817,2021-05-07T12:22:58.359436Z,2021-05-07 12:22:57.108,3,MSEDGEWIN10,C:\Windows\Temp\supply.exe,,747F3D96-3120-6095-2705-000000001D00,6780,MSEDGEWIN10\IEUser,,,,,,,192.168.1.11,-,8080,192.168.1.8,50672,tcp,True,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,False,-,4224,4216,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,MSEDGEWIN10.domain.name,False,-,,3,,5,http://schemas.microsoft.com/win/2004/08/events/event
1818,2021-05-07T12:22:58.657219Z,2021-05-07 12:22:58.654,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3122-6095-2C05-000000001D00,1204,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3121-6095-2B05-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,5576,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1819,2021-05-07T12:22:58.701055Z,2021-05-07 12:22:58.692,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3122-6095-2C05-000000001D00,1204,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI12042\msvcm90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:58.692,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1820,2021-05-07T12:22:58.701081Z,2021-05-07 12:22:58.692,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3122-6095-2C05-000000001D00,1204,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI12042\msvcp90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:58.692,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1821,2021-05-07T12:22:58.701355Z,2021-05-07 12:22:58.692,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3122-6095-2C05-000000001D00,1204,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI12042\msvcr90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:58.692,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1822,2021-05-07T12:22:58.717136Z,2021-05-07 12:22:58.708,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3122-6095-2C05-000000001D00,1204,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI12042\python27.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:22:58.708,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1823,2021-05-07T12:22:58.799664Z,2021-05-07 12:22:58.796,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3122-6095-2D05-000000001D00,6240,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3122-6095-2C05-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,1204,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1824,2021-05-07T12:22:58.892650Z,2021-05-07 12:22:57.803,3,MSEDGEWIN10,C:\Windows\Temp\supply.exe,,747F3D96-3121-6095-2905-000000001D00,724,MSEDGEWIN10\IEUser,,,,,,,192.168.1.11,-,8080,192.168.1.8,50674,tcp,True,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,False,-,4224,4216,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,MSEDGEWIN10.domain.name,False,-,,3,,5,http://schemas.microsoft.com/win/2004/08/events/event
1825,2021-05-07T12:22:59.499183Z,2021-05-07 12:22:59.496,1,MSEDGEWIN10,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3123-6095-2E05-000000001D00,6660,MSEDGEWIN10\IEUser,C:\Windows\Temp\supply.exe,"C:\windows\temp\supply.exe /c ""ipconfig""
",747F3D96-3122-6095-2D05-000000001D00,,,,,,,,,,,"MD5=E253708011D4153D7764EC1B3CBC019F,SHA256=B896CC820879C983970829D81667BB69DA2567E942E9228AB68D64EDF550A77A,IMPHASH=4DF47BD79D7FE79953651A03293F0E8F",C:\Users\IEUser\Downloads\,-,-,-,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,-,,Medium,0x8000000000000000,4,747F3D96-DE82-6094-7713-0F0000000000,0xf1377,0,-,6240,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1826,2021-05-07T12:22:59.677979Z,2021-05-07 12:22:58.638,3,MSEDGEWIN10,C:\Windows\Temp\supply.exe,,747F3D96-3121-6095-2B05-000000001D00,5576,MSEDGEWIN10\IEUser,,,,,,,192.168.1.11,-,8080,192.168.1.8,50676,tcp,True,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,False,-,4224,4216,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,MSEDGEWIN10.domain.name,False,-,,3,,5,http://schemas.microsoft.com/win/2004/08/events/event
1827,2021-05-07T12:23:00.326955Z,2021-05-07 12:23:00.317,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3123-6095-2E05-000000001D00,6660,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI66602\msvcm90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:23:00.317,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1828,2021-05-07T12:23:00.424090Z,2021-05-07 12:23:00.396,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3123-6095-2E05-000000001D00,6660,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI66602\msvcp90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:23:00.396,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1829,2021-05-07T12:23:00.424234Z,2021-05-07 12:23:00.396,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3123-6095-2E05-000000001D00,6660,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI66602\msvcr90.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:23:00.396,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1830,2021-05-07T12:23:00.424268Z,2021-05-07 12:23:00.410,11,MSEDGEWIN10,C:\windows\temp\supply.exe,,747F3D96-3123-6095-2E05-000000001D00,6660,,,,,C:\Users\IEUser\AppData\Local\Temp\_MEI66602\python27.dll,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:23:00.410,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,DLL,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1831,2021-05-07T12:23:00.568398Z,2021-05-07 12:22:59.480,3,MSEDGEWIN10,C:\Windows\Temp\supply.exe,,747F3D96-3122-6095-2D05-000000001D00,6240,MSEDGEWIN10\IEUser,,,,,,,192.168.1.11,-,8080,192.168.1.8,50678,tcp,True,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,False,-,4224,4216,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,MSEDGEWIN10.domain.name,False,-,,3,,5,http://schemas.microsoft.com/win/2004/08/events/event
